Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,21.71266540642722,0.124965005,1.1715908881389734,1.1715908881389734,1.0
24000,1.4221891,24.348837209302324,0.057163764,1.4340379936246488,1.4340379936246488,1.0
36000,1.4130061,28.99,0.16790585,1.8959999430179595,1.8959999430179595,1.0
48000,1.3970194,33.96220930232558,0.30451542,2.396802316224852,2.396802316224852,1.0
60000,1.3840177,51.530701754385966,0.5648464,4.146491538537176,4.146491538537176,1.0
72000,1.373468,90.74045801526718,0.91428334,8.08168057994988,8.08168057994988,1.0
84000,1.365795,230.17307692307693,1.3970765,21.55192641570018,21.55192641570018,1.0
96000,1.3545749,562.5909090909091,1.7878217,52.39546224203977,52.39546224203977,1.0
108000,1.3452625,838.2857142857143,2.512804,83.53572600228446,83.53572600228446,1.0
120000,1.3285588,999.0,3.0081766,100.00001525878906,100.00001525878906,1.0
132000,1.3237947,740.5625,3.3219314,73.74376137554646,73.74376137554646,1.0
144000,1.3191024,810.5333333333333,3.7203631,80.93334561983744,80.93334561983744,1.0
156000,1.3134841,927.6923076923077,4.330141,92.70001404102032,92.70001404102032,1.0
168000,1.3079256,999.0,4.84222,100.00001525878906,100.00001525878906,1.0
180000,1.3057921,952.3846153846154,5.190185,95.25386047363281,95.25386047363281,1.0
192000,1.3052044,924.7692307692307,5.491935,92.49232176633981,92.49232176633981,1.0
204000,1.3043046,999.0,5.9613056,100.00001525878906,100.00001525878906,1.0
216000,1.3039047,999.0,6.2503104,100.00001525878906,100.00001525878906,1.0
228000,1.3016617,999.0,6.4836755,100.00001525878906,100.00001525878906,1.0
240000,1.2988384,999.0,6.7102275,100.00001525878906,100.00001525878906,1.0
252000,1.3019465,999.0,6.9489875,100.00001525878906,100.00001525878906,1.0
264000,1.2979298,999.0,7.187702,100.00001525878906,100.00001525878906,1.0
276000,1.3001157,999.0,7.395355,100.00001525878906,100.00001525878906,1.0
288000,1.3001844,999.0,7.584597,100.00001525878906,100.00001525878906,1.0
300000,1.2992256,999.0,7.7927794,100.00001525878906,100.00001525878906,1.0
312000,1.3024029,939.0833333333334,7.9682307,93.91668097178142,93.91668097178142,1.0
324000,1.298497,999.0,8.172212,100.00001525878906,100.00001525878906,1.0
336000,1.3039427,999.0,8.341693,100.00001525878906,100.00001525878906,1.0
348000,1.3031942,994.4615384615385,8.507665,99.46155372032753,99.46155372032753,1.0
360000,1.3016018,999.0,8.682155,100.00001525878906,100.00001525878906,1.0
372000,1.3002257,999.0,8.837771,100.00001525878906,100.00001525878906,1.0
384000,1.3001373,999.0,8.979744,100.00001525878906,100.00001525878906,1.0
396000,1.2998135,999.0,9.121312,100.00001525878906,100.00001525878906,1.0
408000,1.2986692,923.6923076923077,9.465044,92.38462946965144,92.38462946965144,1.0
420000,1.2989601,999.0,9.398002,100.00001525878906,100.00001525878906,1.0
432000,1.2997783,999.0,9.5141735,100.00001525878906,100.00001525878906,1.0
444000,1.2998614,917.8333333333334,9.709005,91.79168065388997,91.79168065388997,1.0
456000,1.3003957,861.8571428571429,9.8591585,86.1285844870976,86.1285844870976,1.0
468000,1.3015802,942.7692307692307,9.81581,94.29232201209435,94.29232201209435,1.0
480000,1.3014218,877.75,9.87669,100.00001525878906,100.00001525878906,1.0
492000,1.301097,999.0,9.879848,85.98572732721057,85.98572732721057,1.0
